"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"287",13,"Philadelphia Eagles",PHI,"DST4","-","139","323","241.9","36.9","-"
"288",13,"Raheem Mostert",LV,"RB88","33","256","386","304.7","32.4","-"
"289",13,"Matt Gay",WAS,"K4","31","208","358","276.9","35.6","-"
"290",13,"Denver Broncos",DEN,"DST5","-","183","318","246.9","32.1","-"
"291",13,"Jake Moody",SF,"K5","25","179","324","258.9","37.5","-"
"292",13,"Washington Commanders",WAS,"DST6","-","176","371","273.1","44.0","-"
"293",13,"Luke Musgrave",GB,"TE44","24","206","332","265.2","36.8","-"
"294",13,"Dyami Brown",JAC,"WR113","25","182","399","279.5","52.9","-"
"295",13,"Tai Felton",MIN,"WR114","22","156","385","235.7","62.9","-"
"296",13,"Daniel Carlson",LV,"K6","30","218","362","289.2","35.5","-"
"297",13,"Will Reichard",MIN,"K7","24","197","381","250.7","41.6","-"
"298",13,"Baltimore Ravens",BAL,"DST7","-","143","307","251.4","34.6","-"
"299",13,"Tutu Atwell",LAR,"WR115","25","176","377","282.8","61.0","-"
"300",13,"Joshua Karty",LAR,"K8","23","203","404","273.7","46.5","-"
"301",13,"Jameis Winston",NYG,"QB39","31","215","381","274.8","46.1","-"
"302",13,"New Orleans Saints",NO,"DST8","-","153","356","275.1","56.5","-"
"303",13,"Dameon Pierce",HOU,"RB89","25","222","398","300.5","43.7","-"
"304",13,"Chris Boswell",PIT,"K9","34","192","367","285.9","40.6","-"
"305",13,"Sean Tucker",TB,"RB90","23","207","393","294.1","46.6","-"
"306",13,"Malachi Corley",NYJ,"WR116","23","231","337","277.6","32.8","-"
"307",13,"Tyler Bass",BUF,"K10","28","174","353","278.5","37.5","-"
"308",13,"New England Patriots",NE,"DST9","-","183","396","268.9","53.3","-"
"309",13,"Mike Williams",LAC,"WR117","30","188","346","279.1","49.4","-"
"310",13,"Gunnar Helm",TEN,"TE45","22","187","344","248.8","51.9","-"
"311",13,"Arizona Cardinals",ARI,"DST10","-","181","394","282.3","51.1","-"
"312",13,"Blake Grupe",NO,"K11","26","201","353","265.0","40.0","-"
"313",13,"Evan McPherson",CIN,"K12","25","171","334","276.9","38.9","-"
"314",13,"Atlanta Falcons",ATL,"DST11","-","177","383","267.1","50.8","-"
